CustomerID,FirstName,LastName,Email,Country,City,SignupDate
1,Raj,Iyer,user1@example.com,Australia,Hyderabad,2024-01-16
2,Kiran,Iyer,user2@example.com,India,Bangalore,2022-11-05
3,Divya,Singh,user3@example.com,USA,Hyderabad,2023-08-14
4,Amit,Naidu,user4@example.com,Canada,Sydney,2023-02-07
5,Ravi,Gupta,user5@example.com,Australia,Sydney,2022-07-02
6,Divya,Singh,user6@example.com,Canada,Toronto,2023-08-24
7,Ravi,Nair,user7@example.com,Canada,Toronto,2023-08-05
8,Divya,Patel,user8@example.com,USA,Hyderabad,2022-05-11
9,Sita,Reddy,user9@example.com,USA,Delhi,2024-05-22
10,Priya,Singh,user10@example.com,UK,Mumbai,2022-10-07
11,Raj,Singh,user11@example.com,Canada,Mumbai,2022-05-17
12,Priya,Verma,user12@example.com,Canada,London,2024-04-23
13,Amit,Reddy,user13@example.com,UK,Bangalore,2022-07-27
14,Vijay,Nair,user14@example.com,UK,Chennai,2023-06-10
15,Manoj,Patel,user15@example.com,UK,Delhi,2022-04-17
16,Anjali,Reddy,user16@example.com,Australia,Toronto,2024-06-23
17,Vijay,Nair,user17@example.com,Australia,Sydney,2023-04-26
18,Manoj,Verma,user18@example.com,Canada,Hyderabad,2023-11-15
19,Vijay,Nair,user19@example.com,Canada,Toronto,2024-06-01
20,Anjali,Patel,user20@example.com,USA,Mumbai,2022-07-18
21,Raj,Nair,user21@example.com,Canada,Mumbai,2022-12-08
22,Anjali,Nair,user22@example.com,Australia,Delhi,2023-11-03
23,Ravi,Gupta,user23@example.com,USA,Bangalore,2022-03-30
24,Divya,Sharma,user24@example.com,Canada,Toronto,2023-10-03
25,Divya,Sharma,user25@example.com,India,London,2023-07-15
26,Kiran,Verma,user26@example.com,Canada,New York,2024-05-10
27,Sita,Iyer,user27@example.com,UK,Bangalore,2023-09-11
28,Sita,Gupta,user28@example.com,UK,Delhi,2022-07-14
29,Raj,Singh,user29@example.com,UK,London,2024-08-10
30,Divya,Verma,user30@example.com,Canada,London,2023-02-28
31,Sita,Iyer,user31@example.com,UK,London,2024-04-08
32,Manoj,Sharma,user32@example.com,UK,Hyderabad,2022-07-09
33,Anjali,Naidu,user33@example.com,India,New York,2024-09-01
34,Ravi,Reddy,user34@example.com,UK,New York,2024-03-03
35,Amit,Nair,user35@example.com,India,New York,2023-11-21
36,Vijay,Patel,user36@example.com,USA,Delhi,2022-12-10
37,Sita,Naidu,user37@example.com,USA,Chennai,2022-01-10
38,Divya,Patel,user38@example.com,UK,Delhi,2023-08-03
39,Vijay,Gupta,user39@example.com,India,Delhi,2022-06-28
40,Anjali,Verma,user40@example.com,UK,Mumbai,2022-12-28
41,Priya,Singh,user41@example.com,UK,New York,2023-10-05
42,Sita,Patel,user42@example.com,UK,Sydney,2023-05-23
43,Anjali,Kumar,user43@example.com,Canada,New York,2022-07-21
44,Sita,Sharma,user44@example.com,UK,New York,2023-11-28
45,Raj,Nair,user45@example.com,Canada,Sydney,2022-09-20
46,Anjali,Nair,user46@example.com,Canada,New York,2024-03-07
47,Divya,Verma,user47@example.com,UK,London,2023-07-11
48,Manoj,Iyer,user48@example.com,UK,New York,2023-12-01
49,Manoj,Kumar,user49@example.com,Australia,Hyderabad,2022-01-29
50,Manoj,Iyer,user50@example.com,Canada,Toronto,2023-11-30
